Feature,Importance
clinical_service_intensity,1.00424101847826
diag_3_group_Skin,0.6823682261414015
diag_2_group_Skin,0.6103093060419594
max_glu_serum_>300,0.5286120931941598
max_glu_serum_>200,0.39682812874947093
diag_1_group_Musculoskeletal,0.39083057363137474
pioglitazone_Up,0.3418409722252288
medication_change_count,0.33353571515609826
race_AfricanAmerican,0.31151764580287206
admission_source_group_Transfer/Other,0.2899547895011357
diag_1_group_External/Other,0.2841578792970664
admission_type_label_Other/Unknown,0.2827954111033634
diag_2_group_Injury,0.24610930820703752
insulin_Steady,0.23822973290643204
diag_3_group_Injury,0.23810543954775865
chlorpropamide_Steady,0.21681106124869742
age_midpoint,0.2140477537396385
glipizide_Up,0.20300112678176985
admission_type_label_Trauma Center,0.19770221305926416
metformin_Steady,0.17088159940147327
rosiglitazone_Down,0.166234284710986
diag_1_group_Respiratory,0.15552690945708045
glyburide-metformin_No,0.15366051443597423
diag_1_group_Circulatory,0.14266635012018547
glyburide_Steady,0.14050203884411414
diag_3_group_Musculoskeletal,0.1396098335183467
repaglinide_Down,0.13643007230343407
admission_type_label_Elective,0.13259326059419418
diag_3_group_Respiratory,0.12387685159045153
diag_2_group_Respiratory,0.12363867205346082
nateglinide_Down,0.1216799794996912
diag_1_group_Genitourinary,0.11759123816376399
gender_Female,0.11722370780954552
diag_2_group_Digestive,0.1134683921376626
metformin-rosiglitazone_No,0.11268480603272844
A1Cresult_Other/Unknown,0.11246842974851703
tolazamide_Steady,0.10973949341768911
insulin_No,0.1064490296361786
diag_1_group_Diabetes,0.10231900081869999
diabetesMed_No,0.10079329734213371
age_[80-90),0.09959507899489463
citoglipton_No,0.09911004261257955
examide_No,0.09911004261257955
glimepiride-pioglitazone_No,0.09911004261257955
metformin_No,0.09798583799795196
miglitol_No,0.09587351128800836
repaglinide_Up,0.09547021286098331
acetohexamide_No,0.09228739620497815
change_No,0.08979116466235144
glimepiride_Down,0.08536532231325282
troglitazone_Steady,0.0815570147544472
miglitol_Steady,0.0803590930749796
glyburide-metformin_Steady,0.07311858181069357
age_[0-10),0.07292593130378676
metformin_Up,0.0722455986434924
max_glu_serum_Norm,0.07104874766202647
age_[70-80),0.06906020957613004
metformin-pioglitazone_No,0.06479115080418525
glipizide-metformin_Steady,0.06184749816445893
diag_1_group_Skin,0.06158036198554602
repaglinide_Steady,0.06093176353906057
tolbutamide_Steady,0.0584571540760454
glipizide_Steady,0.050386539708826554
race_Caucasian,0.04505511599278561
tolbutamide_No,0.04065288853653789
glimepiride_Steady,0.04038332889468453
diag_2_group_Musculoskeletal,0.03936713421379776
glipizide-metformin_No,0.03726254444811873
glimepiride_Up,0.034652363959257575
metformin-pioglitazone_Steady,0.034318891808404056
acarbose_Up,0.031221259256023728
acarbose_Steady,0.02789801990010707
race_Hispanic,0.025160741919447106
A1Cresult_Norm,0.024134676191299855
age_[40-50),0.02390287875311208
acarbose_Down,0.02340204290048064
admission_type_label_Urgent,0.022883777343740565
troglitazone_No,0.017553027858145113
acarbose_No,0.016588720556000455
age_[20-30),0.011947728966200034
rosiglitazone_No,0.010779613147230449
prior_utilization,0.010411513955763096
diag_3_group_Genitourinary,0.009683389684379203
glipizide_No,0.009667989331076859
change_Ch,0.00931887795034708
nateglinide_Up,0.007588414206957177
acetohexamide_Steady,0.006822646407594616
gender_Male,0.002766558543074531
nateglinide_Steady,0.002270341102444783
rosiglitazone_Steady,0.0020499440628491514
diag_2_group_Neoplasms,0.0019480130565163525
age_[60-70),0.0018681153689454745
age_[30-40),0.0016169504757949844
diabetesMed_Yes,-0.0016832547296630313
glyburide_Up,-0.0033666315795366237
admission_source_group_Other/Unknown,-0.004609489157676658
chlorpropamide_Down,-0.008641984713646363
tolazamide_No,-0.010629450805093496
insulin_Up,-0.011515124152075836
glyburide-metformin_Down,-0.012021908761384694
A1Cresult_>7,-0.012319271652169467
metformin-rosiglitazone_Steady,-0.013574763420154762
glyburide_Down,-0.013595193780112006
miglitol_Up,-0.016521341139465774
diag_2_group_Other/Unknown,-0.018344720485478735
gender_Not Reported,-0.02088022373997158
age_[90-100),-0.022165858228782115
chlorpropamide_Up,-0.022457243474782767
glyburide_No,-0.02443017087194881
admission_source_id,-0.024932912588279985
A1Cresult_>8,-0.02517379167472062
age_[50-60),-0.027806509341441098
pioglitazone_No,-0.028255059834025206
nateglinide_No,-0.03242869219646402
diag_3_group_Neoplasms,-0.03364215771937731
admission_type_label_Newborn,-0.03971968379741516
diag_3_group_Digestive,-0.04640237822547019
race_Other,-0.0536580208337964
miglitol_Down,-0.06060122061095209
glimepiride_No,-0.06129097255446583
pioglitazone_Steady,-0.07095699238764361
diag_3_group_Symptoms,-0.0798120963867089
rosiglitazone_Up,-0.07995379930845732
admission_source_group_Referral,-0.08089248481148814
chlorpropamide_No,-0.08660179044768772
race_Asian,-0.0911071376389678
diag_2_group_Circulatory,-0.0923230366413659
diag_3_group_Other/Unknown,-0.09505703456168864
admission_source_group_Emergency Room,-0.10534277291914429
diag_2_group_Symptoms,-0.11368087239079105
diag_2_group_Genitourinary,-0.11457141105919347
glyburide-metformin_Up,-0.11564714487268395
age_[10-20),-0.13183448325605487
diag_1_group_Other/Unknown,-0.13250231074238666
race_Not Reported,-0.13785830262968118
pioglitazone_Down,-0.1435188773909555
diag_3_group_Circulatory,-0.1445100005921725
glipizide_Down,-0.16394561320889953
diag_1_group_Symptoms,-0.18777957246809782
repaglinide_No,-0.19372200609088405
diag_1_group_Injury,-0.2031127423147993
insulin_Down,-0.23405359577775248
metformin_Down,-0.24200299343006648
diag_1_group_Neoplasms,-0.2850728802832945
diag_3_group_Diabetes,-0.30893568712617814
diag_2_group_Diabetes,-0.316549687600703
diag_1_group_Digestive,-0.34709476505248765
admission_type_id,-0.3653805162358872
diag_2_group_External/Other,-0.38026105492022116
diag_3_group_External/Other,-0.3861743432580294
admission_type_label_Emergency,-0.4971449356903508
max_glu_serum_Other/Unknown,-0.8973789269932176
